sourcedId,status,dateLastModified,schoolYearSourcedId,title,courseCode,grades,orgSourcedId,subjects,subjectCodes
0014996,,,,REMOTE LEARNING,0014996,,024901001,,
0014997,,,,Inter/Inclussio,0014997,,024901001,,
0015000,,,,ACC INSTRUCTION,0015000,,024901001,,
0015001,,,,ENG 1 INTERVENT,0015001,,024901001,,
0015002,,,,ENG 2 INTERVENT,0015002,,024901001,,
0015003,,,,ALG 1 INTERVENT,0015003,,024901001,,
0015004,,,,US HIST INTERV,0015004,,024901001,,
0015005,,,,TSI PREP ELA,0015005,,024901001,,
0015006,,,,TSI PREP MATH,0015006,,024901001,,
0015008,,,,TECM 1301,0015008,,024901001,,
0015009,,,,WLDG 2413,0015009,,024901001,,
0015010,,,,Homework Asst I,0015010,,024901001,,
0015011,,,,InENG 1,0015011,,024901001,,
0015012,,,,InENG 2,0015012,,024901001,,
0015013,,,,InENG 3,0015013,,024901001,,
0015014,,,,InALG 1,0015014,,024901001,,
0015015,,,,InALG 2,0015015,,024901001,,
0015016,,,,InGEOM,0015016,,024901001,,
0015017,,,,InBIO 1,0015017,,024901001,,
0015018,,,,InCHEMISTRY,0015018,,024901001,,
0015019,,,,InWLD GEOGRAPHY,0015019,,024901001,,
0015020,,,,InWLD HISTORY,0015020,,024901001,,
0015021,,,,InUS HISTORY,0015021,,024901001,,
0015022,,,,InGOVERNMENT,0015022,,024901001,,
0015023,,,,InECONOMICS,0015023,,024901001,,
0015024,,,,InPHYSICS,0015024,,024901001,,
0015025,,,,InENVR SYSTEMS,0015025,,024901001,,
0015026,,,,InENGLISH 4,0015026,,024901001,,
0015027,,,,InFINANCIALMATH,0015027,,024901001,,
0015094,,,,DIGIT ART ANIMA,0015094,,024901001,,
0015095,,,,ENGLISH 1 BLOCK,0015095,,024901001,,
0015096,,,,ENGLISH 2 BLOCK,0015096,,024901001,,
0015097,,,,ALGEBRA 1 BLOCK,0015097,,024901001,,
0015101,,,,ENG 1,0015101,,024901001,,
0015102,,,,ENG 2,0015102,,024901001,,
0015103,,,,ENG 3,0015103,,024901001,,
0015104,,,,ENG 4,0015104,,024901001,,
0015105,,,,COMM APPL,0015105,,024901001,,
0015106,,,,READING 1,0015106,,024901001,,
0015107,,,,READING 2,0015107,,024901001,,
0015108,,,,READING 3,0015108,,024901001,,
0015109,,,,READING 4,0015109,,024901001,,
0015110,,,,ENG-DSY,0015110,,024901001,,
0015111,,,,ENG 1 HONORS,0015111,,024901001,,
0015112,,,,ENG 2 HONORS,0015112,,024901001,,
0015115,,,,ENG SOL LAB,0015115,,024901001,,
0015116,,,,FORENSIC SCIENC,0015116,,024901001,,
0015117,,,,COMM TECHNOLGY,0015117,,024901001,,
0015118,,,,PROJ BASE RESRC,0015118,,024901001,,
0015119,,,,ENGLISH2 HON1.0,0015119,,024901001,,
0015120,,,,ENGLISH 1301,0015120,,024901001,,
0015121,,,,ENGLISH 1302,0015121,,024901001,,
0015122,,,,ENGLISH 1301,0015122,,024901001,,
0015123,,,,ENGLISH 1302,0015123,,024901001,,
0015124,,,,ENGLISH 2322,0015124,,024901001,,
0015125,,,,ENGLISH 2302 SR,0015125,,024901001,,
0015126,,,,PROFCOMM1311,0015126,,024901001,,
0015127,,,,PROFCOMM1315,0015127,,024901001,,
0015128,,,,ENG1301 ONLINE,0015128,,024901001,,
0015129,,,,ENGLISH 1301,0015129,,024901001,,
0015130,,,,ENGLISH 1302,0015130,,024901001,,
0015131,,,,SPANISH I,0015131,,024901001,,
0015132,,,,Spanish II,0015132,,024901001,,
0015133,,,,SPANISH III,0015133,,024901001,,
0015134,,,,TECHNICAL WRITI,0015134,,024901001,,
0015135,,,,MUSI 1306,0015135,,024901001,,
0015136,,,,GEOL 1305,0015136,,024901001,,
0015137,,,,WLDG 1323,0015137,,024901001,,
0015138,,,,COMG 1391,0015138,,024901001,,
0015139,,,,TECM 1301,0015139,,024901001,,
0015140,,,,WLDG 2453,0015140,,024901001,,
0015141,,,,BIOL 1322,0015141,,024901001,,
0015200,,,,GEOG 1303,0015200,,024901001,,
0015201,,,,ALG 1,0015201,,024901001,,
0015202,,,,GEOMETRY,0015202,,024901001,,
0015203,,,,MATH MODELS APP,0015203,,024901001,,
0015204,,,,ALGREA REASONIN,0015204,,024901001,,
0015205,,,,ALG 2,0015205,,024901001,,
0015206,,,,ALG 1,0015206,,024901001,,
0015207,,,,GEOMETRY,0015207,,024901001,,
0015211,,,,ALG 1 HONORS,0015211,,024901001,,
0015212,,,,GEOM HONORS,0015212,,024901001,,
0015213,,,,ALG 2 HONORS,0015213,,024901001,,
0015214,,,,PRECALCULUS,0015214,,024901001,,
0015215,,,,MATH1314,0015215,,024901001,,
0015216,,,,COLLEGE TRG1316,0015216,,024901001,,
0015220,,,,MATH PREP,0015220,,024901001,,
0015301,,,,BIOLOGY 1,0015301,,024901001,,
0015302,,,,INT PHYS&CHEM,0015302,,024901001,,
0015303,,,,CHEMISTRY,0015303,,024901001,,
0015304,,,,PHYSICS,0015304,,024901001,,
0015305,,,,Anatomy & Physi,0015305,,024901001,,
0015306,,,,EARTH SPACE SCI,0015306,,024901001,,
0015307,,,,ENVR SYSTEMS,0015307,,024901001,,
0015311,,,,BIO 1 HONORS,0015311,,024901001,,
0015312,,,,CHEM HONORS,0015312,,024901001,,
0015313,,,,PRE-AP ENVR SYS,0015313,,024901001,,
0015315,,,,BIOL 1306 LEC,0015315,,024901001,,
0015316,,,,BIOLOGY1106,0015316,,024901001,,
0015317,,,,BIOLOGY 1308,0015317,,024901001,,
0015318,,,,BIOLOGY 1107,0015318,,024901001,,
0015319,,,,BIOL 1306 REC,0015319,,024901001,,
0015327,,,,HVAC HART 1401,0015327,,024901001,,
0015328,,,,HVAC 2,0015328,,024901001,,
0015329,,,,PHIL 2306,0015329,,024901001,,
0015399,,,,PSYC 2314,0015399,,024901001,,
0015400,,,,ECONOMIC 2301,0015400,,024901001,,
0015401,,,,WLD GEOGRAPHY,0015401,,024901001,,
0015402,,,,US HISTORY,0015402,,024901001,,
0015403,,,,WLD HISTORY,0015403,,024901001,,
0015404,,,,GOVERNMENT,0015404,,024901001,,
0015405,,,,ECONOMICS,0015405,,024901001,,
0015410,,,,TX GOVT 2306,0015410,,024901001,,
0015411,,,,WLD GEO HONORS,0015411,,024901001,,
0015413,,,,WLD HIST HONORS,0015413,,024901001,,
0015419,,,,WLD HLTH RESECH,0015419,,024901001,,
0015420,,,,USHIST1301,0015420,,024901001,,
0015421,,,,USHIST1302,0015421,,024901001,,
0015422,,,,US HIST 1301,0015422,,024901001,,
0015423,,,,US HIST 1302,0015423,,024901001,,
0015424,,,,US HIST 1301,0015424,,024901001,,
0015425,,,,US HSIT 1302,0015425,,024901001,,
0015426,,,,US GOVT 2305,0015426,,024901001,,
0015427,,,,TX GOVT 2306,0015427,,024901001,,
0015428,,,,USHIST 1301 ,0015428,,024901001,,
0015429,,,,PSYC 2314,0015429,,024901001,,
0015430,,,,PHIL 1301,0015430,,024901001,,
0015431,,,,HUMA 1301,0015431,,024901001,,
0015432,,,,BIOL 2306,0015432,,024901001,,
0015433,,,,SOCI 2301,0015433,,024901001,,
0015434,,,,Money Matters,0015434,,024901001,,
0015435,,,,SPEECH 1315,0015435,,024901001,,
0015436,,,,COMS 1311,0015436,,024901001,,
0015438,,,,GOVT 2305,0015438,,024901001,,
0015439,,,,CRIJ 2328,0015439,,024901001,,
0015501,,,,ART 1,0015501,,024901001,,
0015502,,,,ART 2,0015502,,024901001,,
0015503,,,,ART 3,0015503,,024901001,,
0015504,,,,ART 4,0015504,,024901001,,
0015505,,,,THEATRE ART 1,0015505,,024901001,,
0015506,,,,THEATRE ART 2,0015506,,024901001,,
0015507,,,,THEATRE ART 3,0015507,,024901001,,
0015508,,,,THEATRE ART 4,0015508,,024901001,,
0015509,,,,BAND 1,0015509,,024901001,,
0015510,,,,BAND 2,0015510,,024901001,,
0015511,,,,BAND 3,0015511,,024901001,,
0015512,,,,BAND 4,0015512,,024901001,,
0015513,,,,MUS MARIACHI 1,0015513,,024901001,,
0015514,,,,MUS MARIACHI 2,0015514,,024901001,,
0015515,,,,MUS MARIACHI 3,0015515,,024901001,,
0015516,,,,MUS MARIACHI 4,0015516,,024901001,,
0015518,,,,CHOIR 1,0015518,,024901001,,
0015519,,,,SOLO ENSEMBLE 1,0015519,,024901001,,
0015520,,,,ART 1301,0015520,,024901001,,
0015521,,,,ARTS 1303,0015521,,024901001,,
0015600,,,,ADAPTIVE PE,0015600,,024901001,,
0015601,,,,F OF PER FITNES,0015601,,024901001,,
0015602,,,,IND/TEAM SPORT,0015602,,024901001,,
0015603,,,,PE SUB MAR BAND,0015603,,024901001,,
0015604,,,,AEROBIC ACTIVIT,0015604,,024901001,,
0015605,,,,PE SUB JROTC1,0015605,,024901001,,
0015606,,,,ATHLETICS 1 B,0015606,,024901001,,
0015607,,,,ATHLETICS 2 B,0015607,,024901001,,
0015608,,,,ATHLETICS 3 B,0015608,,024901001,,
0015609,,,,ATHLETICS 4 B,0015609,,024901001,,
0015610,,,,ATHLETICS 1 G,0015610,,024901001,,
0015611,,,,ATHLETICS 2 G,0015611,,024901001,,
0015612,,,,ATHLETICS 3 G,0015612,,024901001,,
0015613,,,,ATHLETICS 4 G,0015613,,024901001,,
0015614,,,,KINE 1346,0015614,,024901001,,
0015697,,,,BUSI 1301,0015697,,024901001,,
0015698,,,,HPRS 1201,0015698,,024901001,,
0015699,,,,PLAB1023,0015699,,024901001,,
0015700,,,,ECRD 1011,0015700,,024901001,,
0015701,,,,Health,0015701,,024901001,,
0015702,,,,COLLEGEPREP ELA,0015702,,024901001,,
0015703,,,,COLLEGEPREP MTH,0015703,,024901001,,
0015704,,,,FLORAL DESIGN,0015704,,024901001,,
0015705,,,,ADV JOUN YRB 1,0015705,,024901001,,
0015706,,,,ADV JOUN YRB2,0015706,,024901001,,
0015708,,,,JOURNALISM,0015708,,024901001,,
0015709,,,,COLLEGE RSS,0015709,,024901001,,
0015710,,,,COLLEGE TRAVEL,0015710,,024901001,,
0015711,,,,CRSS EDUC 1300,0015711,,024901001,,
0015712,,,,PSYCHOLOGY 2301,0015712,,024901001,,
0015713,,,,SOCIOLOGY 1301,0015713,,024901001,,
0015720,,,,HPRS 2302,0015720,,024901001,,
0015721,,,,PSYCH 2301 ,0015721,,024901001,,
0015722,,,,JOURNALISM NP1,0015722,,024901001,,
0015723,,,,JOURNALISM NP2,0015723,,024901001,,
0015724,,,,PRIN OF APP ENG,0015724,,024901001,,
0015725,,,,DIGITAL MEDIA,0015725,,024901001,,
0015726,,,,GRAPHIC DESIGN,0015726,,024901001,,
0015730,,,,INTRO HLTH PROF,0015730,,024901001,,
0015732,,,,H SCI-NURA1301,0015732,,024901001,,
0015733,,,,CLINIC-NURA1160,0015733,,024901001,,
0015734,,,,EDUC 1301,0015734,,024901001,,
0015735,,,,H SCI-NURA1301,0015735,,024901001,,
0015736,,,,CLINIC-NURA1160,0015736,,024901001,,
0015738,,,,ROTC 3,0015738,,024901001,,
0015739,,,,ROTC2,0015739,,024901001,,
0015740,,,,ROTC1,0015740,,024901001,,
0015741,,,,MED BIO TEC,0015741,,024901001,,
0015742,,,,PHARMACOLOGY,0015742,,024901001,,
0015800,,,,SPCH 1315,0015800,,024901001,,
0015801,,,,PRIN OF AFNR,0015801,,024901001,,
0015802,,,,LIVESTOCK PROD,0015802,,024901001,,
0015803,,,,VET MED APP,0015803,,024901001,,
0015804,,,,ADV ANIMIAL SCI,0015804,,024901001,,
0015805,,,,CERT MED ASST,0015805,,024901001,,
0015806,,,,PATCARETECH,0015806,,024901001,,
0015807,,,,TECA 1311,0015807,,024901001,,
0015808,,,,CDEC 1359,0015808,,024901001,,
0015809,,,,CDEC 1313,0015809,,024901001,,
0015810,,,,PRIN OF EDTR,0015810,,024901001,,
0015811,,,,PRIN OF HUM SER,0015811,,024901001,,
0015812,,,,DOLLARS&SENSE,0015812,,024901001,,
0015813,,,,5815,0015813,,024901001,,
0015814,,,,CDEC 1356,0015814,,024901001,,
0015815,,,,CHILD GUID,0015815,,024901001,,
0015816,,,,CDEC 1358,0015816,,024901001,,
0015817,,,,CDEC 1321,0015817,,024901001,,
0015818,,,,CHOIR 1,0015818,,024901001,,
0015819,,,,VNSG 1227,0015819,,024901001,,
0015820,,,,ENTREPRENEURSHI,0015820,,024901001,,
0015821,,,,PRIN OF BMF,0015821,,024901001,,
0015822,,,,TOUCH SDATAE,0015822,,024901001,,
0015823,,,,BUSIM1,0015823,,024901001,,
0015824,,,,BUS INFO MGT 2,0015824,,024901001,,
0015825,,,,BCIS 1305,0015825,,024901001,,
0015826,,,,CAREER PREP 1,0015826,,024901001,,
0015827,,,,WLD2406 LEC/LAB,0015827,,024901001,,
0015828,,,,WLD2453 LEC/LAB,0015828,,024901001,,
0015829,,,,AG MECH,0015829,,024901001,,
0015830,,,,INTRO WLDG 1557,0015830,,024901001,,
0015831,,,,PRIN OF MANUF,0015831,,024901001,,
0015832,,,,WLD1407,0015832,,024901001,,
0015833,,,,WLDG 1407 ,0015833,,024901001,,
0015834,,,,WLDG 1521,0015834,,024901001,,
0015835,,,,WLDG 1521 LAB,0015835,,024901001,,
0015836,,,,WLDG 1557,0015836,,024901001,,
0015837,,,,WLDG 1434,0015837,,024901001,,
0015838,,,,WLDG 1435,0015838,,024901001,,
0015839,,,,IPWLDG 1435 LAB,0015839,,024901001,,
0015840,,,,WLDG 2406,0015840,,024901001,,
0015841,,,,PRIN LPCS,0015841,,024901001,,
0015842,,,,LAW ENFOR 1,0015842,,024901001,,
0015843,,,,COURT SYS PRAC,0015843,,024901001,,
0015844,,,,LAW ENF 2,0015844,,024901001,,
0015845,,,,PREM2 GMAW1430,0015845,,024901001,,
0015846,,,,CJSA 1322,0015846,,024901001,,
0015848,,,,CJSA 1313,0015848,,024901001,,
0015849,,,,WLDG 1 2406,0015849,,024901001,,
0015850,,,,ELECTRIC TECH I,0015850,,024901001,,
0015851,,,,ELECTRIC TECH 2,0015851,,024901001,,
0015852,,,,5141,0015852,,024901001,,
0015853,,,,WLD 2451,0015853,,024901001,,
0015854,,,,Build Main Tech,0015854,,024901001,,
0015855,,,,PRIN CONSTRUCT,0015855,,024901001,,
0015856,,,,CONSTR MGT 1,0015856,,024901001,,
0015857,,,,VNSG 1320,0015857,,024901001,,
0015858,,,,VNSG 1116 Nutri,0015858,,024901001,,
0015859,,,,VNSG 1133 Gro&D,0015859,,024901001,,
0015860,,,,INTRO ENG DSGN,0015860,,024901001,,
0015861,,,,WLDG1313,0015861,,024901001,,
0015862,,,,WLDG1317,0015862,,024901001,,
0015867,,,,CONTRUC TECH,0015867,,024901001,,
0015868,,,,Const. Tech 1,0015868,,024901001,,
0015870,,,,ACCOUNTING 1,0015870,,024901001,,
0015871,,,,FINANCIAL MATH,0015871,,024901001,,
0015900,,,,PHYSICS,0015900,,024901001,,
0015901,,,,ENGLISH 1,0015901,,024901001,,
0015902,,,,ENGLISH 2,0015902,,024901001,,
0015903,,,,ENGLISH 3,0015903,,024901001,,
0015904,,,,ENGLISH 4,0015904,,024901001,,
0015905,,,,ALGEBRA 1,0015905,,024901001,,
0015906,,,,GEOMETRY,0015906,,024901001,,
0015907,,,,MTH MOD APP,0015907,,024901001,,
0015908,,,,BIOLOGY  1,0015908,,024901001,,
0015909,,,,INT PHY&CHEM,0015909,,024901001,,
0015910,,,,CHEMISTRY,0015910,,024901001,,
0015911,,,,WLD GEOGRAPHY,0015911,,024901001,,
0015912,,,,US HISTORY,0015912,,024901001,,
0015913,,,,WLD HISTORY,0015913,,024901001,,
0015914,,,,GOVERNMENT,0015914,,024901001,,
0015915,,,,ECONOMICS,0015915,,024901001,,
0015916,,,,CAREER L SK 1,0015916,,024901001,,
0015917,,,,CAREER L SK 2,0015917,,024901001,,
0015918,,,,CAREER L SK 3,0015918,,024901001,,
0015919,,,,CAREER L SK 4,0015919,,024901001,,
0015920,,,,FUND OF MATH,0015920,,024901001,,
0015921,,,,VOCATIONAL SK,0015921,,024901001,,
0015922,,,,FUNCTIONAL MTH,0015922,,024901001,,
0015923,,,,FUNCTIONAL RDG,0015923,,024901001,,
0015924,,,,STUDY HALL,0015924,,024901001,,
0015934,,,,ALGEBRA 2,0015934,,024901001,,
0015935,,,,ASSIS TECHNOOGY,0015935,,024901001,,
0015936,,,,BRAILLE PRODENG,0015936,,024901001,,
0015937,,,,BRAILLE PRODSCI,0015937,,024901001,,
0015938,,,,JOURNALISM,0015938,,024901001,,
0019001,,,,ENGLISH 1 A,0019001,,024901001,,
0019002,,,,ENGLISH 2 A,0019002,,024901001,,
0019003,,,,ENGLISH 3 A,0019003,,024901001,,
0019004,,,,ENGLISH 4 A,0019004,,024901001,,
0019005,,,,ALGEBRA 1 A,0019005,,024901001,,
0019006,,,,GEOMETRY A,0019006,,024901001,,
0019007,,,,ALGEBRA 2 A,0019007,,024901001,,
0019008,,,,MMA A,0019008,,024901001,,
0019009,,,,IPC A,0019009,,024901001,,
0019010,,,,BIOLOGY A,0019010,,024901001,,
0019011,,,,WORLD GEO A,0019011,,024901001,,
0019012,,,,WORLD HISTORY A,0019012,,024901001,,
0019013,,,,US HISTORY A,0019013,,024901001,,
0019014,,,,GOVERNMENT A,0019014,,024901001,,
0019015,,,,ECONOMICS A,0019015,,024901001,,
0019016,,,,HEALTH A,0019016,,024901001,,
0019017,,,,CHEMISTRY A,0019017,,024901001,,
0019018,,,,EARTH SCIENCE A,0019018,,024901001,,
0019019,,,,ART 1 A,0019019,,024901001,,
0019020,,,,BUS INF MGT 1,0019020,,024901001,,
0019021,,,,PHYSICS A,0019021,,024901001,,
0019022,,,,SOCIOLOGY A,0019022,,024901001,,
0019023,,,,SPEECH COMUNICA,0019023,,024901001,,
0019024,,,,SPANISH 1 A,0019024,,024901001,,
0019114,,,,PHYSICS B,0019114,,024901001,,
0019117,,,,CHEMISTY B,0019117,,024901001,,
0019118,,,,EARTH SCIENCE B,0019118,,024901001,,
0414610,,,,ELA/RDG 6,0414610,,024901041,,
0414621,,,,MATH B-6,0414621,,024901041,,
0414660,,,,ART I MS,0414660,,024901041,,
0414691,,,,TECH APPL,0414691,,024901041,,
0414710,,,,ELA/RDG 7,0414710,,024901041,,
0414711,,,,ELA/RDG B-7,0414711,,024901041,,
0414754,,,,BAND - 7,0414754,,024901041,,
0414810,,,,ELA/RDG 8,0414810,,024901041,,
0414849,,,,P. E .8,0414849,,024901041,,
0414871,,,,PRIN OF AFNR,0414871,,024901041,,
0414918,,,,READING,0414918,,024901041,,
1011216,,,,MATH ENR - 2,1011216,,024901101,,
1011308,,,,JAB-3,1011308,,024901101,,
1011309,,,,STAAR Enr 3,1011309,,024901101,,
1011310,,,,ELA 3,1011310,,024901101,,
1011402,,,,MATHEMATICS - 4,1011402,,024901101,,
1011408,,,,JAB-4,1011408,,024901101,,
1011410,,,,ELA 4,1011410,,024901101,,
1011503,,,,SCIENCE - 5,1011503,,024901101,,
1011508,,,,JAB-5,1011508,,024901101,,
